No,Group,Family,Name_S,Name_C,Endemic,Alien,西元年,Month,Date,Time,Park,Region,X坐標,Y坐標,數量,Investgat
9,兩棲類,赤蛙科,Rana guentheri,貢德氏赤蛙,,,2014,5,18,1514,,新店溪,299379,2768801,2,
12,兩棲類,狹口蛙科,Microhyla ornata,小雨蛙,,,2014,5,15,950,中正橋-華中橋,新店溪,300168,2767228,1,
14,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,5,15,1001,中正橋-華中橋,新店溪,300081,2767292,50,
15,兩棲類,狹口蛙科,Microhyla ornata,小雨蛙,,,2014,5,15,1003,中正橋-華中橋,新店溪,300117,2767292,300,
16,兩棲類,狹口蛙科,Microhyla ornata,小雨蛙,,,2014,5,15,1007,中正橋-華中橋,新店溪,300223,2767285,300,
17,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,5,15,1007,中正橋-華中橋,新店溪,300223,2767285,30,
878,兩棲類,樹蛙科,Rhacophorus taipeianus,台北樹蛙,特有種,,2015,4,23,322,,新店溪,303402,2767034,1,林文琪
19,兩棲類,狹口蛙科,Microhyla ornata,小雨蛙,,,2014,5,16,1905,福和橋-華中橋,新店溪,303748,2766988,3,
20,兩棲類,赤蛙科,Rana guentheri,貢德氏赤蛙,,,2014,5,16,1905,福和橋-華中橋,新店溪,303748,2766988,1,
21,兩棲類,叉舌蛙科,Hoplobatrachus rugulosa,虎皮蛙,,,2014,5,16,1905,福和橋-華中橋,新店溪,303748,2766988,1,
22,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,5,16,1908,福和橋-華中橋,新店溪,303888,2766571,2,
23,兩棲類,狹口蛙科,Microhyla ornata,小雨蛙,,,2014,5,16,1908,福和橋-華中橋,新店溪,303888,2766571,3,
24,兩棲類,狹口蛙科,Microhyla ornata,小雨蛙,,,2014,5,16,1910,福和橋-華中橋,新店溪,304011,2766296,2,
25,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,5,16,1915,福和橋-華中橋,新店溪,303922,2766522,2,
26,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,5,16,1919,福和橋-華中橋,新店溪,303801,2766782,3,
27,兩棲類,狹口蛙科,Microhyla ornata,小雨蛙,,,2014,5,16,1927,福和橋-華中橋,新店溪,303492,2767052,10,
28,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,5,16,1927,福和橋-華中橋,新店溪,303492,2767052,4,
30,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,5,16,1932,福和橋-華中橋,新店溪,303245,2767179,1,
31,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,5,16,1937,福和橋-華中橋,新店溪,303117,2767342,2,
32,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,5,16,1940,福和橋-華中橋,新店溪,302951,2767533,2,
33,兩棲類,狹口蛙科,Microhyla ornata,小雨蛙,,,2014,5,16,1940,福和橋-華中橋,新店溪,302951,2767533,2,
