樹籍編碼,樹種,學名,科別,河濱公園,管理單位,樹高m,胸高直徑cm,樹冠投影面,推估樹齡_y,資料日期,備註,經度_TWD97,緯度_TWD97,經度_WGS84,緯度_WGS84
XD0CT20001,蒲葵,Livistona chinensis,棕櫚科,古亭,高灘地南區管理站,8.74279,24.203822,22.098282,190.370333,1051231,,302513.8924,2768167.168,121.520331,25.020664
XD0CT20002,蒲葵,Livistona chinensis,棕櫚科,古亭,高灘地南區管理站,5.78943,22.929936,17.984537,122.6795,1051231,測量1m多主幹2枝,302459.0437,2768137.376,121.519786,25.020396
XD0CT20003,蒲葵,Livistona chinensis,棕櫚科,古亭,高灘地南區管理站,5.96935,25.796178,20.232604,122.528,1051231,測量0.5m,302460.6471,2768137.033,121.519802,25.020393
XD0CT20004,蒲葵,Livistona chinensis,棕櫚科,古亭,高灘地南區管理站,10.2118,18.152866,7.262468,0,1051231,脫痕不明顯,302693.6078,2768075.173,121.522108,25.019827
XD0CT20005,蒲葵,Livistona chinensis,棕櫚科,古亭,高灘地南區管理站,10.093,20.700637,9.631909,0,1051231,脫痕不明顯,302695.1416,2768080.427,121.522123,25.019874
XD0CT20006,蒲葵,Livistona chinensis,棕櫚科,古亭,高灘地南區管理站,9.99861,19.585987,11.430978,0,1051231,脫痕不明顯,302696.5271,2768084.492,121.522137,25.019911
XD0CT20007,黃椰子,Chrysalidocarpus,棕櫚科,古亭,高灘地南區管理站,6.94893,21.815287,6.94893,239.9835,1051231,,302762.1935,2768053.921,121.522786,25.019633
XD0CT20008,黃椰子,Chrysalidocarpus,棕櫚科,古亭,高灘地南區管理站,7.75887,0,71.804066,81.369571,1051231,叢生,302747.4312,2767926.493,121.522635,25.018483
XD0ZZ20001,酒瓶椰子,Mascarena lagenicaulis,棕櫚科,中正,高灘地南區管理站,2.64517,17.038217,28.122375,0,1051231,測量1m尺放地上,301724.4763,2768488.78,121.512521,25.023594
XD0ZZ20002,棍棒椰子,Mascarena verschaffeltii,棕櫚科,中正,高灘地南區管理站,2.92691,13.535032,23.185297,0,1051231,測量0.8m,301728.8843,2768498.248,121.512565,25.02368
XDMCD20001,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,8.62079,22.292994,7.106283,196.852333,1051230,,300915.9692,2768019.053,121.504493,25.019381
XDMCD20002,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,8.20894,20.541401,6.816851,166.434286,1051230,,300912.3728,2768022.677,121.504457,25.019414
XDMCD20003,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,8.45973,21.496815,9.233254,150.584,1051230,,300908.941,2768026.903,121.504423,25.019452
XDMCD20004,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,8.02389,20.700637,13.219582,120.488889,1051230,,300906.3762,2768030.929,121.504398,25.019488
XDMCD20005,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,8.56311,20.700637,10.576616,143.423429,1051230,,300903.43,2768035.255,121.504369,25.019528
XDMCD20006,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,7.36693,22.292994,11.429078,121.0545,1051230,,300907.018,2768037.964,121.504405,25.019552
XDMCD20007,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,8.29263,25.477707,9.384893,139.77525,1051230,,300909.2038,2768033.919,121.504426,25.019515
XDMCD20008,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,7.97653,22.929936,8.8403,144.096,1051230,,300912.05,2768029.729,121.504454,25.019477
XDMCD20009,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,9.62857,26.910828,8.863103,261.473667,1051230,,300915.263,2768025.639,121.504486,25.01944
XDMCD20010,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,8.46901,21.496815,7.314955,142.98875,1051230,,300917.8035,2768020.663,121.504511,25.019395
XDMCD20011,蒲葵,Livistona chinensis,棕櫚科,馬場町紀念公園,高灘地南區管理站,9.14267,27.070064,10.812901,137.295556,1051230,,300922.7737,2768024.395,121.50456,25.019429
