月份,營運日,星期,總運量,平日/假日
1月,20230101,週日,12860,假日
1月,20230102,週一,6892,假日
1月,20230103,週二,2623,平日
1月,20230104,週三,2625,平日
1月,20230105,週四,3906,平日
1月,20230106,週五,2678,平日
1月,20230107,週六,7900,平日
1月,20230108,週日,10665,假日
1月,20230110,週二,3459,平日
1月,20230111,週三,3679,平日
1月,20230112,週四,5247,平日
1月,20230113,週五,5546,平日
1月,20230114,週六,11334,假日
1月,20230115,週日,5015,假日
1月,20230117,週二,3771,平日
1月,20230118,週三,2611,平日
1月,20230119,週四,4361,平日
1月,20230120,週五,5363,假日
1月,20230122,週日,18299,假日
1月,20230123,週一,16343,假日
1月,20230124,週二,14025,假日
1月,20230125,週三,18205,假日
1月,20230126,週四,19007,假日
1月,20230127,週五,15219,假日
1月,20230128,週六,14686,假日
1月,20230129,週日,16705,假日
1月,20230131,週二,16413,平日
2月,20230201,週三,10615,平日
2月,20230202,週四,6221,平日
2月,20230203,週五,7785,平日
2月,20230204,週六,8378,平日
2月,20230205,週日,5353,假日
2月,20230207,週二,8492,平日
2月,20230208,週三,8590,平日
2月,20230209,週四,10148,平日
2月,20230210,週五,5916,平日
2月,20230211,週六,14440,假日
2月,20230212,週日,14256,假日
2月,20230214,週二,2767,平日
2月,20230215,週三,3554,平日
2月,20230216,週四,5520,平日
2月,20230217,週五,7034,平日
2月,20230218,週六,12169,平日
2月,20230219,週日,9512,假日
2月,20230221,週二,2621,平日
2月,20230222,週三,4057,平日
2月,20230223,週四,3766,平日
2月,20230224,週五,3633,平日
2月,20230225,週六,10027,假日
2月,20230226,週日,16910,假日
2月,20230227,週一,18681,假日
2月,20230228,週二,15631,假日
3月,20230301,週三,4536,平日
3月,20230302,週四,3810,平日
3月,20230303,週五,4712,平日
3月,20230304,週六,12507,假日
3月,20230305,週日,14087,假日
3月,20230307,週二,6602,平日
3月,20230308,週三,6351,平日
3月,20230309,週四,5807,平日
3月,20230310,週五,6782,平日
3月,20230311,週六,13893,假日
3月,20230312,週日,12450,假日
3月,20230314,週二,5161,平日
3月,20230315,週三,5715,平日
3月,20230316,週四,5621,平日
3月,20230317,週五,6497,平日
3月,20230318,週六,10575,假日
3月,20230319,週日,11624,假日
3月,20230321,週二,6002,平日
3月,20230322,週三,5142,平日
3月,20230323,週四,4085,平日
3月,20230324,週五,5275,平日
3月,20230325,週六,6953,平日
3月,20230326,週日,6311,假日
3月,20230328,週二,4124,平日
3月,20230329,週三,4203,平日
3月,20230330,週四,4177,平日
3月,20230331,週五,5423,平日
4月,20230401,週六,6469,假日
4月,20230402,週日,17917,假日
4月,20230403,週一,18222,假日
4月,20230404,週二,18073,假日
4月,20230405,週三,10076,假日
4月,20230406,週四,4684,平日
4月,20230407,週五,4342,平日
4月,20230408,週六,11535,假日
4月,20230409,週日,12090,假日
4月,20230411,週二,7391,平日
4月,20230412,週三,6219,平日
4月,20230413,週四,6405,平日
4月,20230414,週五,7063,平日
4月,20230415,週六,4695,假日
4月,20230416,週日,13195,假日
4月,20230418,週二,6849,平日
4月,20230419,週三,2537,平日
4月,20230420,週四,2737,平日
4月,20230421,週五,4891,平日
4月,20230422,週六,11402,假日
4月,20230423,週日,11661,假日
4月,20230425,週二,5519,平日
4月,20230426,週三,3610,平日
4月,20230427,週四,5504,平日
4月,20230428,週五,7122,平日
4月,20230429,週六,12978,假日
4月,20230430,週日,13274,假日
5月,20230501,週一,12083,假日
5月,20230502,週二,6385,平日
5月,20230503,週三,6258,平日
5月,20230504,週四,5203,平日
5月,20230505,週五,5404,平日
5月,20230506,週六,11531,假日
5月,20230507,週日,5711,假日
5月,20230509,週二,5207,平日
5月,20230510,週三,4930,平日
5月,20230511,週四,4646,平日
5月,20230512,週五,4708,平日
5月,20230513,週六,7268,假日
5月,20230514,週日,9275,假日
5月,20230516,週二,6100,平日
5月,20230517,週三,4254,平日
5月,20230518,週四,3366,平日
5月,20230519,週五,1747,平日
5月,20230520,週六,4026,假日
5月,20230521,週日,8359,假日
5月,20230523,週二,3263,平日
5月,20230524,週三,5298,平日
5月,20230525,週四,4817,平日
5月,20230526,週五,6120,平日
5月,20230527,週六,11710,假日
5月,20230528,週日,11395,假日
5月,20230530,週二,4229,平日
5月,20230531,週三,602,平日
6月,20230601,週四,2382,平日
6月,20230602,週五,5775,平日
6月,20230603,週六,8265,假日
6月,20230604,週日,5917,假日
6月,20230606,週二,3999,平日
6月,20230607,週三,5042,平日
6月,20230622,週四,11278,假日
6月,20230623,週五,6388,假日
6月,20230624,週六,8049,假日
6月,20230625,週日,10044,假日
6月,20230627,週二,6966,平日
6月,20230628,週三,5109,平日
6月,20230629,週四,4300,平日
6月,20230630,週五,2315,平日
7月,20230701,週六,6502,假日
7月,20230702,週日,4067,假日
7月,20230704,週二,6624,平日
7月,20230705,週三,6321,平日
7月,20230706,週四,5568,平日
7月,20230707,週五,5157,平日
7月,20230708,週六,8703,假日
7月,20230709,週日,8851,假日
7月,20230711,週二,2295,平日
7月,20230712,週三,3286,平日
7月,20230713,週四,4952,平日
7月,20230714,週五,5734,平日
7月,20230715,週六,9479,假日
7月,20230716,週日,9323,假日
7月,20230718,週二,2287,平日
7月,20230719,週三,3871,平日
7月,20230720,週四,1634,平日
7月,20230721,週五,4838,平日
7月,20230722,週六,8983,假日
7月,20230723,週日,7460,假日
7月,20230725,週二,6769,平日
7月,20230726,週三,904,平日
7月,20230728,週五,3053,平日
7月,20230729,週六,10989,假日
7月,20230730,週日,4291,假日
8月,20230801,週二,3683,平日
8月,20230802,週三,2966,平日
8月,20230804,週五,1060,平日
8月,20230805,週六,10501,假日
8月,20230806,週日,10550,假日
8月,20230808,週二,6943,平日
8月,20230809,週三,5524,平日
8月,20230810,週四,2359,平日
8月,20230811,週五,2299,平日
8月,20230812,週六,7652,假日
8月,20230813,週日,10463,假日
8月,20230815,週二,7208,平日
8月,20230816,週三,2125,平日
8月,20230817,週四,2247,平日
8月,20230818,週五,3754,平日
8月,20230819,週六,10707,假日
8月,20230820,週日,3339,假日
8月,20230822,週二,4165,平日
8月,20230823,週三,3607,平日
8月,20230824,週四,5026,平日
8月,20230825,週五,6551,平日
8月,20230826,週六,10540,假日
8月,20230827,週日,6876,假日
8月,20230829,週二,4901,平日
8月,20230830,週三,2989,平日
8月,20230831,週四,2843,平日
9月,20230901,週五,3136,平日
9月,20230902,週六,3426,假日
9月,20230903,週日,192,假日
9月,20230905,週二,3404,平日
9月,20230906,週三,1139,平日
9月,20230907,週四,3796,平日
9月,20230908,週五,3175,平日
9月,20230909,週六,10929,假日
9月,20230910,週日,10163,假日
9月,20230912,週二,4180,平日
9月,20230913,週三,3407,平日
9月,20230914,週四,3556,平日
9月,20230915,週五,2508,平日
9月,20230916,週六,9937,假日
9月,20230917,週日,10495,假日
9月,20230919,週二,4078,平日
9月,20230920,週三,3898,平日
9月,20230921,週四,3814,平日
9月,20230922,週五,4438,平日
9月,20230923,週六,7670,假日
9月,20230924,週日,8801,假日
9月,20230926,週二,3613,平日
9月,20230927,週三,3175,平日
9月,20230928,週四,3631,平日
9月,20230929,週五,8349,假日
9月,20230930,週六,10841,假日
,,,,
