No,Group,Family,Name_S,Name_C,Alien,西元年,Month,Date,Region,TWD97_X,TWD97_Y,數量
31,甲殼,對蝦科,Metapenaeus ensis,刀額新對蝦,,2014,6,19,淡水河,299483.1807,2770060.223,1
12,水昆,小划蝽科,Micronecta sp.,小划蝽,,2014,5,28,淡水河,299483.1807,2770060.223,2
208,軟體,椎實螺科,Austropeplea ollula,小椎實螺,,2015,4,22,新店溪,299474.2401,2768198.348,7
78,軟體,山椒蝸牛科,Assiminea taiwanensis,台灣山椒螺,,2014,8,6,淡水河,300851.0892,2775442.451,1
50,甲殼,對蝦科,Metapenaeus ensis,刀額新對蝦,,2014,7,22,淡水河,299483.1807,2770060.223,7
58,甲殼,對蝦科,Metapenaeus ensis,刀額新對蝦,,2014,7,22,淡水河,300851.0892,2775442.451,13
79,甲殼,對蝦科,Metapenaeus ensis,刀額新對蝦,,2014,8,6,淡水河,300851.0892,2775442.451,12
213,軟體,山椒蝸牛科,Assiminea taiwanensis,台灣山椒螺,,2015,4,22,淡水河,299483.1807,2770060.223,1
107,甲殼,對蝦科,Metapenaeus ensis,刀額新對蝦,,2014,9,30,淡水河,300851.0892,2775442.451,2
112,甲殼,對蝦科,Metapenaeus ensis,刀額新對蝦,,2014,9,30,關渡水岸公園,296497.1756,2779240.538,4
11,軟體,粟螺科,Stenothyra formosana,台灣粟螺,,2014,5,28,淡水河,299483.1807,2770060.223,29
37,水昆,小划蝽科,Micronecta sp.,小划蝽,,2014,6,19,淡水河,300851.0892,2775442.451,80
116,甲殼,對蝦科,Metapenaeus ensis,刀額新對蝦,,2014,10,28,新店溪,303097.4095,2767239.471,1
145,甲殼,對蝦科,Metapenaeus ensis,刀額新對蝦,,2014,11,10,淡水河,300851.0892,2775442.451,5
52,甲殼,長臂蝦科,Macrobrachium nipponense,日本沼蝦,,2014,7,22,淡水河,299483.1807,2770060.223,3
57,水昆,小划蝽科,Micronecta sp.,小划蝽,,2014,7,22,淡水河,300851.0892,2775442.451,200
72,水昆,小划蝽科,Micronecta sp.,小划蝽,,2014,8,6,淡水河,299483.1807,2770060.223,1
82,水昆,小划蝽科,Micronecta sp.,小划蝽,,2014,8,6,淡水河,300851.0892,2775442.451,11
125,水昆,小划蝽科,Micronecta sp.,小划蝽,,2014,10,28,淡水河,299483.1807,2770060.223,4
73,甲殼,長臂蝦科,Macrobrachium nipponense,日本沼蝦,,2014,8,6,淡水河,299483.1807,2770060.223,1
15,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2014,5,28,淡水河,300386.1791,2770670.418,48
34,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2014,6,19,淡水河,300386.1791,2770670.418,25
54,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2014,7,22,淡水河,300386.1791,2770670.418,45
207,水昆,小划蝽科,Micronecta sp.,小划蝽,,2015,4,22,新店溪,299474.2401,2768198.348,6
76,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2014,8,6,淡水河,300386.1791,2770670.418,10
71,軟體,粟螺科,Stenothyra formosana,台灣粟螺,,2014,8,6,淡水河,299483.1807,2770060.223,7
101,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2014,9,30,淡水河,299483.1807,2770060.223,24
104,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2014,9,30,淡水河,300386.1791,2770670.418,3
128,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2014,10,28,淡水河,300386.1791,2770670.418,3
209,軟體,粟螺科,Stenothyra formosana,台灣粟螺,,2015,4,22,新店溪,299474.2401,2768198.348,2
160,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2014,12,19,淡水河,300386.1791,2770670.418,20
19,水昆,水黽科,Aquarius sp.,大黽蝽,,2014,5,28,淡水河,300851.0892,2775442.451,6
176,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2015,1,29,淡水河,300386.1791,2770670.418,2
216,甲殼,沙蟹科,Ilyoplax formosensis,台灣泥蟹,,2015,4,22,淡水河,300386.1791,2770670.418,32
56,水昆,水黽科,Aquarius sp.,大黽蝽,,2014,7,22,淡水河,300851.0892,2775442.451,16
61,甲殼,方蟹科,Helice formosensis,台灣厚蟹,,2014,7,22,關渡水岸公園,296497.1756,2779240.538,3
80,水昆,水黽科,Aquarius sp.,大黽蝽,,2014,8,6,淡水河,300851.0892,2775442.451,5
174,水昆,水黽科,Aquarius sp.,大黽蝽,,2015,1,29,新店溪,299474.2401,2768198.348,1
195,水昆,水黽科,Aquarius sp.,大黽蝽,,2015,3,2,新店溪,303097.4095,2767239.471,1
84,甲殼,方蟹科,Helice formosensis,台灣厚蟹,,2014,8,6,關渡水岸公園,296497.1756,2779240.538,1
148,甲殼,方蟹科,Helice formosensis,台灣厚蟹,,2014,11,10,淡水河,300851.0892,2775442.451,1
211,水昆,水黽科,Aquarius sp.,大黽蝽,,2015,4,22,淡水河,299483.1807,2770060.223,3
30,軟體,田螺科,Sinotaia quadrata quadrata,石田螺,,2014,6,19,淡水河,299483.1807,2770060.223,8
49,甲殼,弓蟹科,Varuna litterata,字紋弓蟹,,2014,7,22,淡水河,299483.1807,2770060.223,5
89,甲殼,弓蟹科,Varuna litterata,字紋弓蟹,,2014,9,30,新店溪,303097.4095,2767239.471,1
97,甲殼,弓蟹科,Varuna litterata,字紋弓蟹,,2014,9,30,淡水河,299483.1807,2770060.223,1
115,甲殼,弓蟹科,Varuna litterata,字紋弓蟹,,2014,10,28,新店溪,303097.4095,2767239.471,1
212,甲殼,弓蟹科,Varuna litterata,字紋弓蟹,,2015,4,22,淡水河,299483.1807,2770060.223,1
106,甲殼,對蝦科,Penaeus monodon,草對蝦,,2014,9,30,淡水河,300851.0892,2775442.451,1
129,甲殼,對蝦科,Penaeus monodon,草對蝦,,2014,10,28,淡水河,300851.0892,2775442.451,6
152,甲殼,匙指蝦科,Neocaridina ketagalan,凱達格蘭米蝦,,2014,12,19,新店溪,303097.4095,2767239.471,3
166,甲殼,匙指蝦科,Neocaridina ketagalan,凱達格蘭米蝦,,2015,1,29,新店溪,303097.4095,2767239.471,1
5,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,5,28,新店溪,302601.2074,2767968.128,9
7,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,5,28,新店溪,299930.2096,2767127.713,13
17,水昆,晏蜓科,Aeshnidae,晏蜓水蠆,,2014,5,28,淡水河,300851.0892,2775442.451,9
38,水昆,蚊科,Culicidae,蚊,,2014,6,19,淡水河,300851.0892,2775442.451,3
9,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,5,29,新店溪,299474.2401,2768198.348,5
10,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,5,28,淡水河,299483.1807,2770060.223,22
14,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,5,28,淡水河,300386.1791,2770670.418,18
20,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,5,28,淡水河,300851.0892,2775442.451,6
23,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,6,19,新店溪,303097.4095,2767239.471,1
27,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,6,19,新店溪,302601.2074,2767968.128,2
28,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,6,19,新店溪,299930.2096,2767127.713,7
74,軟體,田螺科,Sinotaia quadrata quadrata,石田螺,,2014,8,6,淡水河,299483.1807,2770060.223,3
29,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,6,19,新店溪,299474.2401,2768198.348,3
33,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,6,19,淡水河,300386.1791,2770670.418,12
36,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,6,19,淡水河,300851.0892,2775442.451,22
94,軟體,田螺科,Sinotaia quadrata quadrata,石田螺,,2014,9,30,新店溪,299474.2401,2768198.348,6
45,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,7,22,新店溪,302601.2074,2767968.128,9
100,軟體,田螺科,Sinotaia quadrata quadrata,石田螺,,2014,9,30,淡水河,299483.1807,2770060.223,6
46,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,7,22,新店溪,299930.2096,2767127.713,25
47,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,7,22,新店溪,299474.2401,2768198.348,24
126,軟體,田螺科,Sinotaia quadrata quadrata,石田螺,,2014,10,28,淡水河,299483.1807,2770060.223,2
48,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,7,22,淡水河,299483.1807,2770060.223,15
53,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,7,22,淡水河,300386.1791,2770670.418,20
59,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,7,22,淡水河,300851.0892,2775442.451,13
65,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,8,6,新店溪,302601.2074,2767968.128,5
66,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,8,6,新店溪,299930.2096,2767127.713,4
68,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,8,6,新店溪,299474.2401,2768198.348,6
70,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,8,6,淡水河,299483.1807,2770060.223,9
75,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,8,6,淡水河,300386.1791,2770670.418,20
81,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,8,6,淡水河,300851.0892,2775442.451,3
159,軟體,田螺科,Sinotaia quadrata quadrata,石田螺,,2014,12,19,淡水河,299483.1807,2770060.223,3
88,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,9,30,新店溪,303097.4095,2767239.471,1
4,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2014,5,28,新店溪,303097.4095,2767239.471,3
90,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,9,30,新店溪,302601.2074,2767968.128,1
91,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,9,30,新店溪,299930.2096,2767127.713,2
26,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2014,6,19,新店溪,303097.4095,2767239.471,2
93,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,9,30,新店溪,299474.2401,2768198.348,3
67,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2014,8,6,新店溪,299930.2096,2767127.713,2
102,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,9,30,淡水河,299483.1807,2770060.223,3
103,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,9,30,淡水河,300386.1791,2770670.418,40
109,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,9,30,淡水河,300851.0892,2775442.451,4
117,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,10,28,新店溪,302601.2074,2767968.128,3
118,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,10,28,新店溪,299930.2096,2767127.713,2
120,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,10,28,新店溪,299474.2401,2768198.348,15
124,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,10,28,淡水河,299483.1807,2770060.223,2
127,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,10,28,淡水河,300386.1791,2770670.418,7
130,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,10,28,淡水河,300851.0892,2775442.451,12
132,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,10,28,關渡水岸公園,296497.1756,2779240.538,2
135,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,11,24,新店溪,303097.4095,2767239.471,2
137,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,11,24,新店溪,302601.2074,2767968.128,2
138,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,11,24,新店溪,299930.2096,2767127.713,1
139,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,11,24,新店溪,299474.2401,2768198.348,8
140,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,11,24,淡水河,299483.1807,2770060.223,3
141,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,11,24,淡水河,300386.1791,2770670.418,2
92,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2014,9,30,新店溪,299930.2096,2767127.713,2
142,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,11,10,淡水河,300851.0892,2775442.451,9
147,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,11,10,淡水河,300851.0892,2775442.451,5
119,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2014,10,28,新店溪,299930.2096,2767127.713,1
155,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,12,19,新店溪,302601.2074,2767968.128,1
136,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2014,11,24,新店溪,303097.4095,2767239.471,1
157,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,12,19,新店溪,299474.2401,2768198.348,3
161,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2014,12,19,淡水河,300851.0892,2775442.451,1
170,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,1,29,新店溪,303097.4095,2767239.471,1
171,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,1,29,新店溪,302601.2074,2767968.128,6
173,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,1,29,新店溪,299474.2401,2768198.348,9
175,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,1,29,淡水河,299483.1807,2770060.223,2
177,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,1,29,淡水河,300386.1791,2770670.418,8
156,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2014,12,19,新店溪,299930.2096,2767127.713,2
178,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,1,29,淡水河,300851.0892,2775442.451,1
184,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,2,12,新店溪,302601.2074,2767968.128,3
185,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,2,12,新店溪,299474.2401,2768198.348,1
186,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,2,12,淡水河,300386.1791,2770670.418,3
187,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,2,12,淡水河,300851.0892,2775442.451,2
194,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,3,2,新店溪,303097.4095,2767239.471,1
196,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,3,2,新店溪,302601.2074,2767968.128,2
198,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,3,2,新店溪,299474.2401,2768198.348,3
199,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,3,3,淡水河,300851.0892,2775442.451,1
201,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,4,22,新店溪,303097.4095,2767239.471,14
203,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,4,22,新店溪,302601.2074,2767968.128,18
149,環節,仙女蟲科,Naididae,顫蚓,,2014,11,10,淡水河,300851.0892,2775442.451,3
205,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,4,22,新店溪,299930.2096,2767127.713,3
206,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,4,22,新店溪,299474.2401,2768198.348,6
215,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,4,22,淡水河,300386.1791,2770670.418,22
217,甲殼,方蟹科,Chiromantes dehaani,無齒螳臂蟹,,2015,4,22,淡水河,300851.0892,2775442.451,3
172,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2015,1,29,新店溪,299930.2096,2767127.713,1
163,甲殼,沙蟹科,Macrophthalmus banzai,萬歲大眼蟹,,2014,12,19,關渡水岸公園,296497.1756,2779240.538,1
180,甲殼,沙蟹科,Macrophthalmus banzai,萬歲大眼蟹,,2015,1,29,關渡水岸公園,296497.1756,2779240.538,1
193,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2015,3,2,新店溪,303097.4095,2767239.471,2
189,甲殼,沙蟹科,Macrophthalmus banzai,萬歲大眼蟹,,2015,2,12,關渡水岸公園,296497.1756,2779240.538,2
219,甲殼,沙蟹科,Macrophthalmus banzai,萬歲大眼蟹,,2015,4,30,關渡水岸公園,296497.1756,2779240.538,1
6,甲殼,方蟹科,Parasesarma plicatum,摺痕擬相手蟹,,2014,5,28,新店溪,302601.2074,2767968.128,1
21,甲殼,方蟹科,Parasesarma plicatum,摺痕擬相手蟹,,2014,5,28,淡水河,300851.0892,2775442.451,3
44,甲殼,方蟹科,Parasesarma plicatum,摺痕擬相手蟹,,2014,7,22,新店溪,303097.4095,2767239.471,1
22,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2014,5,28,關渡水岸公園,296497.1756,2779240.538,11
40,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2014,6,19,關渡水岸公園,296497.1756,2779240.538,15
64,水昆,琵蟌科,Platycnemididae,琵蟌稚蟲,,2014,8,6,新店溪,303097.4095,2767239.471,2
87,水昆,琵蟌科,Platycnemididae,琵蟌稚蟲,,2014,9,30,新店溪,303097.4095,2767239.471,1
114,水昆,琵蟌科,Platycnemididae,琵蟌稚蟲,,2014,10,28,新店溪,303097.4095,2767239.471,3
60,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2014,7,22,關渡水岸公園,296497.1756,2779240.538,8
150,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2014,11,11,關渡水岸公園,296497.1756,2779240.538,40
197,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2015,3,2,新店溪,299930.2096,2767127.713,2
162,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2014,12,19,關渡水岸公園,296497.1756,2779240.538,22
134,水昆,琵蟌科,Platycnemididae,琵蟌稚蟲,,2014,11,24,新店溪,303097.4095,2767239.471,2
179,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2015,1,29,關渡水岸公園,296497.1756,2779240.538,15
188,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2015,2,12,關渡水岸公園,296497.1756,2779240.538,21
200,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2015,3,3,關渡水岸公園,296497.1756,2779240.538,13
218,甲殼,沙蟹科,Uca arcuata,網紋招潮蟹,,2015,4,30,關渡水岸公園,296497.1756,2779240.538,13
51,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,7,22,淡水河,299483.1807,2770060.223,30
69,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,8,6,新店溪,299474.2401,2768198.348,10
95,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,9,30,新店溪,299474.2401,2768198.348,12
