No,Family,Name_S,Name_C,Endemic,西元年,Month,Date,Region,X坐標,Y坐標,數量
58,蛺蝶科,Neptis sappho formosana,小三線蝶,特有亞種,2014,7,30,關渡水岸公園,296602,2779540,1
32,粉蝶科,Catopsilia pyranthe (Linnaeus),水青粉蝶,,2014,7,17,淡水河,301274,2772280,1
33,粉蝶科,Catopsilia pyranthe (Linnaeus),水青粉蝶,,2014,6,12,淡水河,300542,2775844,1
244,蛺蝶科,Neptis sappho formosana,小三線蝶,特有亞種,2014,10,16,淡水河,300512,2775865,1
35,灰蝶科,"Lampides boeticus (Linnaeus, 1767)",波紋小灰蝶,,2014,6,12,新店溪,302532,2768089,1
398,蛺蝶科,Parantica swinhoei,小青斑蝶,特有亞種,2014,11,23,新店溪,302002,2768320,1
37,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,5,24,淡水河,301284,2772355,1
38,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,5,24,淡水河,300593,2770869,1
39,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,5,24,淡水河,300347,2770546,1
40,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,5,24,新店溪,299758,2767404,2
41,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,5,24,新店溪,303720,2766925,1
42,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,5,24,淡水河,299962,2770196,1
43,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,淡水河,300371,2775979,1
44,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,淡水河,300804,2775576,1
45,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,淡水河,301060,2775177,1
46,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,淡水河,301299,2772814,2
47,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,淡水河,300864,2771239,1
48,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,新店溪,299181,2769345,2
49,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,新店溪,300151,2767226,2
50,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,新店溪,301400,2768377,1
51,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,新店溪,302400,2768193,1
52,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,30,關渡水岸公園,296594,2779544,1
53,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,30,關渡水岸公園,296585,2779438,1
54,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,7,17,淡水河,299943,2770173,3
55,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,6,12,淡水河,301307,2772966,1
56,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,6,12,新店溪,300594,2767591,1
57,灰蝶科,Zizeeria maha (Matsumura),沖繩小灰蝶,,2014,6,12,淡水河,301279,2772379,1
31,蛺蝶科,Athyma selenophora laela,小單帶蛺蝶,特有亞種,2014,7,17,淡水河,300988,2771603,1
59,蛺蝶科,"Tirumala septentronis (Butler, 1874)",小紋青斑蝶,,2014,5,26,新店溪,299431,2768028,17
60,灰蝶科,"Lampides boeticus (Linnaeus, 1767)",波紋小灰蝶,,2014,6,12,淡水河,300236,2776106,1
61,蛺蝶科,"Junonia almana (Linnaeus, 1758)",孔雀蛺蝶,,2014,7,17,新店溪,300421,2767540,1
62,蛺蝶科,"Junonia almana (Linnaeus, 1758)",孔雀蛺蝶,,2014,7,17,新店溪,301144,2768177,1
63,蛺蝶科,"Junonia almana (Linnaeus, 1758)",孔雀蛺蝶,,2014,7,17,新店溪,301589,2768388,2
64,蛺蝶科,"Junonia almana (Linnaeus, 1758)",孔雀蛺蝶,,2014,7,17,新店溪,301922,2768338,4
65,灰蝶科,"Lampides boeticus (Linnaeus, 1767)",波紋小灰蝶,,2014,6,12,淡水河,300337,2776008,4
66,灰蝶科,"Lampides boeticus (Linnaeus, 1767)",波紋小灰蝶,,2014,6,12,淡水河,300747,2775641,1
34,蛺蝶科,Cyrestis thyodamas formosana,石牆蝶,特有亞種,2014,6,12,淡水河,300589,2775793,1
68,灰蝶科,Lampides boeticus (Linnaeus),波紋小灰蝶,,2014,7,17,淡水河,300371,2775979,1
36,蛺蝶科,Cyrestis thyodamas formosana,石牆蝶,特有亞種,2014,6,12,淡水河,301279,2772379,1
70,蛺蝶科,Neptis hylas lulculenta Fruhstorfer,琉球三線蝶,,2014,7,30,關渡水岸公園,296602,2779540,1
71,蛺蝶科,Neptis hylas lulculenta Fruhstorfer,琉球三線蝶,,2014,5,24,淡水河,300962,2775373,1
72,蛺蝶科,Neptis hylas lulculenta Fruhstorfer,琉球三線蝶,,2014,7,17,淡水河,301133,2775000,1
73,蛺蝶科,Neptis hylas lulculenta Fruhstorfer,琉球三線蝶,,2014,6,12,淡水河,300542,2775844,1
74,蛺蝶科,Neptis hylas lulculenta Fruhstorfer,琉球三線蝶,,2014,6,12,淡水河,300747,2775641,1
75,蛺蝶科,"Ideopsis similis (Linnaeus, 1758)",琉球青斑蝶,,2014,5,26,新店溪,299431,2768028,6
76,蛺蝶科,Hypolimnas bolina kezia (Butler),琉球紫蛺蝶,,2014,7,30,關渡水岸公園,296602,2779540,1
77,蛺蝶科,"Ideopsis similis (Linnaeus, 1758)",琉球青斑蝶,,2014,5,26,淡水河,299132,2770183,1
376,蛺蝶科,Cyrestis thyodamas formosana,石牆蝶,特有亞種,2014,11,23,新店溪,299602,2767613,1
69,鳳蝶科,Graphium sarpedon connectens,青帶鳳蝶,特有亞種,2014,6,12,淡水河,300542,2775844,1
80,蛺蝶科,Argyreus hyperbius (Linnaeus),黑端豹斑蝶,,2014,6,12,新店溪,300159,2767228,1
81,蛺蝶科,"Ideopsis similis (Linnaeus, 1758)",琉球青斑蝶,,2014,5,26,淡水河,298963,2770099,1
90,鳳蝶科,Graphium sarpedon connectens,青帶鳳蝶,特有亞種,2014,5,24,新店溪,304031,2766091,1
91,鳳蝶科,Graphium sarpedon connectens,青帶鳳蝶,特有亞種,2014,7,30,關渡水岸公園,296602,2779540,1
93,鳳蝶科,Graphium sarpedon connectens,青帶鳳蝶,特有亞種,2014,6,12,新店溪,301169,2768201,1
85,蛺蝶科,Cupha erymanthis (Drury),臺灣黃斑蛺蝶,,2014,7,30,關渡水岸公園,296585,2779438,1
86,蛺蝶科,Hypolimnas misippus (Linnaeus),雌紅紫蛺蝶,,2014,6,12,新店溪,304026,2766275,1
94,鳳蝶科,Graphium sarpedon connectens,青帶鳳蝶,特有亞種,2014,6,12,新店溪,302811,2767905,1
