Family,Name_S,Name_C,Endemic,Alien,Status,西元年,Month,Date,Region,X_TWD97,Y_TWD97,數量,Investgat
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303936.6357,2766307.301,5,柯智仁
卷尾科,Dicrurus macrocercus,大卷尾,特有亞種,,留、普/過、稀,2014,9,29,新店溪,303990.6108,2766389.322,1,柯智仁
伯勞科,Lanius cristatus,紅尾伯勞,,,冬、普/過、普,2014,9,29,新店溪,303936.6357,2766307.301,1,柯智仁
鳩鴿科,Streptopelia orientalis,金背鳩,特有亞種,,留、普,2014,9,29,新店溪,303946.1607,2766382.443,1,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303946.1607,2766382.443,1,柯智仁
燕科,Hirundo rustica,家燕,,,夏、普/冬、普/過、普,2014,9,29,新店溪,303871.5481,2766387.735,1,柯智仁
卷尾科,Dicrurus macrocercus,大卷尾,特有亞種,,留、普/過、稀,2014,9,29,新店溪,303901.7106,2766407.314,2,柯智仁
卷尾科,Dicrurus macrocercus,大卷尾,特有亞種,,留、普/過、稀,2014,9,29,新店溪,303954.6274,2766476.635,1,柯智仁
八哥科,Gracupica nigricollis,黑領椋鳥,,外來種,外來種、稀,2014,9,29,新店溪,303901.7106,2766407.314,2,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303901.7106,2766407.314,2,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303901.7106,2766407.314,10,柯智仁
麻雀科,Passer montanus,麻雀,,,留、普,2014,9,29,新店溪,303954.6274,2766476.635,2,柯智仁
八哥科,Acridotheres javanicus,白尾八哥,,外來種,外來種、普,2014,9,29,新店溪,303907.0023,2766441.71,1,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303907.0023,2766441.71,4,柯智仁
八哥科,Acridotheres cristatellus,八哥,特有亞種,,留、不普,2014,9,29,新店溪,303907.0023,2766441.71,3,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303895.8898,2766496.214,8,柯智仁
八哥科,Gracupica nigricollis,黑領椋鳥,,外來種,外來種、稀,2014,9,29,新店溪,303895.8898,2766496.214,8,柯智仁
八哥科,Acridotheres javanicus,白尾八哥,,外來種,外來種、普,2014,9,29,新店溪,303895.8898,2766496.214,14,柯智仁
麻雀科,Passer montanus,麻雀,,,留、普,2014,9,29,新店溪,303898.5356,2766552.835,1,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303898.5356,2766552.835,1,柯智仁
八哥科,Acridotheres javanicus,白尾八哥,,外來種,外來種、普,2014,9,29,新店溪,303875.7814,2766538.019,6,柯智仁
八哥科,Gracupica nigricollis,黑領椋鳥,,外來種,外來種、稀,2014,9,29,新店溪,303875.7814,2766538.019,2,柯智仁
鳩鴿科,Streptopelia chinensis,珠頸斑鳩,,,留、普,2014,9,29,新店溪,303875.7814,2766538.019,2,柯智仁
鷺科,Nycticorax nycticorax,夜鷺,,,留、普/冬、稀/過、稀,2014,9,29,新店溪,303683.1644,2766552.306,1,柯智仁
鴉科,Pica pica,喜鵲,,,留、普,2014,9,29,新店溪,303683.1644,2766552.306,2,柯智仁
鴉科,Pica pica,喜鵲,,,留、普,2014,9,29,新店溪,303873.1356,2766664.49,1,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303810.1646,2766672.956,2,柯智仁
伯勞科,Lanius cristatus,紅尾伯勞,,,冬、普/過、普,2014,9,29,新店溪,303810.1646,2766672.956,2,柯智仁
燕科,Hirundo tahitica,洋燕,,,留、普,2014,9,29,新店溪,303810.1646,2766672.956,1,柯智仁
八哥科,Gracupica nigricollis,黑領椋鳥,,外來種,外來種、稀,2014,9,29,新店溪,303810.1646,2766672.956,4,柯智仁
八哥科,Acridotheres javanicus,白尾八哥,,外來種,外來種、普,2014,9,29,新店溪,303810.1646,2766672.956,6,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303780.5312,2766737.515,3,柯智仁
鳩鴿科,Streptopelia orientalis,金背鳩,特有亞種,,留、普,2014,9,29,新店溪,303810.1646,2766672.956,1,柯智仁
燕科,Hirundo tahitica,洋燕,,,留、普,2014,9,29,新店溪,303826.5688,2766763.444,2,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303826.5688,2766763.444,2,柯智仁
八哥科,Gracupica nigricollis,黑領椋鳥,,外來種,外來種、稀,2014,9,29,新店溪,303825.5105,2766835.411,3,柯智仁
鳩鴿科,Streptopelia orientalis,金背鳩,特有亞種,,留、普,2014,9,29,新店溪,303825.5105,2766835.411,3,柯智仁
鳩鴿科,Streptopelia chinensis,珠頸斑鳩,,,留、普,2014,9,29,新店溪,303773.1229,2766803.132,1,柯智仁
鳩鴿科,Columba livia,野鴿,,外來種,外來種、普,2014,9,29,新店溪,303750.3687,2766856.048,31,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303750.3687,2766856.048,4,柯智仁
鳩鴿科,Streptopelia chinensis,珠頸斑鳩,,,留、普,2014,9,29,新店溪,303750.3687,2766856.048,1,柯智仁
麻雀科,Passer montanus,麻雀,,,留、普,2014,9,29,新店溪,303750.3687,2766856.048,15,柯智仁
燕科,Hirundo tahitica,洋燕,,,留、普,2014,9,29,新店溪,303665.7018,2766811.069,2,柯智仁
鶺鴒科,Motacilla cinerea,灰鶺鴒,,,冬、普,2014,9,29,新店溪,303665.7018,2766811.069,1,柯智仁
鳩鴿科,Columba livia,野鴿,,外來種,外來種、普,2014,9,29,新店溪,303665.7018,2766811.069,1,柯智仁
鳩鴿科,Columba livia,野鴿,,外來種,外來種、普,2014,9,29,新店溪,303568.335,2766816.361,1,柯智仁
鷺科,Nycticorax nycticorax,夜鷺,,,留、普/冬、稀/過、稀,2014,9,29,新店溪,303568.335,2766816.361,1,柯智仁
鷺科,Ardea cinerea,蒼鷺,,,冬、普,2014,9,29,新店溪,303568.335,2766816.361,1,柯智仁
鷺科,Egretta garzetta,小白鷺,,,留、不普/夏、普/冬、普/過、普,2014,9,29,新店溪,303568.335,2766816.361,1,柯智仁
鷺科,Nycticorax nycticorax,夜鷺,,,留、普/冬、稀/過、稀,2014,9,29,新店溪,303708.5644,2766954.474,2,柯智仁
鳩鴿科,Streptopelia chinensis,珠頸斑鳩,,,留、普,2014,9,29,新店溪,303708.5644,2766954.474,3,柯智仁
鷺科,Egretta garzetta,小白鷺,,,留、不普/夏、普/冬、普/過、普,2014,9,29,新店溪,303659.881,2766917.432,1,柯智仁
扇尾鶯科,Prinia inornata,褐頭鷦鶯,特有亞種,,留、普,2014,9,29,新店溪,303659.881,2766917.432,1,柯智仁
翠鳥科,Alcedo atthis,翠鳥,,,留、普/過、不普,2014,9,29,新店溪,303659.881,2766917.432,1,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,303693.7477,2766986.224,1,柯智仁
燕科,Hirundo tahitica,洋燕,,,留、普,2014,9,29,新店溪,303693.7477,2766986.224,1,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303642.9476,2767002.628,4,柯智仁
繡眼科,Zosterops japonicus,綠繡眼,,,留、普,2014,9,29,新店溪,303642.9476,2767002.628,2,柯智仁
伯勞科,Lanius cristatus,紅尾伯勞,,,冬、普/過、普,2014,9,29,新店溪,303693.7477,2766986.224,1,柯智仁
卷尾科,Dicrurus macrocercus,大卷尾,特有亞種,,留、普/過、稀,2014,9,29,新店溪,303659.881,2766917.432,1,柯智仁
扇尾鶯科,Prinia inornata,褐頭鷦鶯,特有亞種,,留、普,2014,9,29,新店溪,303619.6642,2766941.244,1,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303619.6642,2766941.244,1,柯智仁
燕科,Hirundo tahitica,洋燕,,,留、普,2014,9,29,新店溪,303619.6642,2766941.244,1,柯智仁
鷸科,Actitis hypoleucos,磯鷸,,,冬、普,2014,9,29,新店溪,303619.6642,2766941.244,1,柯智仁
鷺科,Ardea cinerea,蒼鷺,,,冬、普,2014,9,29,新店溪,303549.8141,2766987.282,1,柯智仁
鷺科,Ardea cinerea,蒼鷺,,,冬、普,2014,9,29,新店溪,303431.2805,2766904.203,1,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303438.1597,2767034.378,1,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303470.4389,2767074.595,1,柯智仁
鷺科,Nycticorax nycticorax,夜鷺,,,留、普/冬、稀/過、稀,2014,9,29,新店溪,303318.5678,2766957.119,2,柯智仁
伯勞科,Lanius cristatus,紅尾伯勞,,,冬、普/過、普,2014,9,29,新店溪,303318.5678,2766957.119,1,柯智仁
鷸科,Actitis hypoleucos,磯鷸,,,冬、普,2014,9,29,新店溪,303318.5678,2766957.119,2,柯智仁
扇尾鶯科,Prinia inornata,褐頭鷦鶯,特有亞種,,留、普,2014,9,29,新店溪,303318.5678,2766957.119,1,柯智仁
鷺科,Ardea cinerea,蒼鷺,,,冬、普,2014,9,29,新店溪,303222.2593,2767007.919,4,柯智仁
鷺科,Egretta garzetta,小白鷺,,,留、不普/夏、普/冬、普/過、普,2014,9,29,新店溪,303222.2593,2767007.919,1,柯智仁
鷸科,Actitis hypoleucos,磯鷸,,,冬、普,2014,9,29,新店溪,303222.2593,2767007.919,1,柯智仁
鷺科,Nycticorax nycticorax,夜鷺,,,留、普/冬、稀/過、稀,2014,9,29,新店溪,303222.2593,2767007.919,1,柯智仁
鶺鴒科,Motacilla cinerea,灰鶺鴒,,,冬、普,2014,9,29,新店溪,303222.2593,2767007.919,1,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303330.2095,2767087.824,4,柯智仁
繡眼科,Zosterops japonicus,綠繡眼,,,留、普,2014,9,29,新店溪,303330.2095,2767087.824,2,柯智仁
麻雀科,Passer montanus,麻雀,,,留、普,2014,9,29,新店溪,303263.0052,2767167.728,28,柯智仁
八哥科,Aplonis panayensis,輝椋鳥,,外來種,外來種、不普,2014,9,29,新店溪,303303.7511,2767169.316,14,柯智仁
鳩鴿科,Columba livia,野鴿,,外來種,外來種、普,2014,9,29,新店溪,303303.7511,2767169.316,15,柯智仁
伯勞科,Lanius cristatus,紅尾伯勞,,,冬、普/過、普,2014,9,29,新店溪,303160.8758,2767227.524,1,柯智仁
麻雀科,Passer montanus,麻雀,,,留、普,2014,9,29,新店溪,303160.8758,2767227.524,2,柯智仁
鷺科,Bubulcus ibis,黃頭鷺,,,留、不普/夏、普/冬、普/過、普,2014,9,29,新店溪,303098.434,2767374.104,5,柯智仁
鷺科,Nycticorax nycticorax,夜鷺,,,留、普/冬、稀/過、稀,2014,9,29,新店溪,302945.5046,2767204.241,2,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,303020.1172,2767376.749,4,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,302938.6254,2767506.925,2,柯智仁
伯勞科,Lanius cristatus,紅尾伯勞,,,冬、普/過、普,2014,9,29,新店溪,302938.6254,2767506.925,1,柯智仁
鴉科,Dendrocitta formosae,樹鵲,特有亞種,,留、普,2014,9,29,新店溪,302938.6254,2767506.925,2,柯智仁
繡眼科,Zosterops japonicus,綠繡眼,,,留、普,2014,9,29,新店溪,302938.6254,2767506.925,2,柯智仁
八哥科,Gracupica nigricollis,黑領椋鳥,,外來種,外來種、稀,2014,9,29,新店溪,302881.4753,2767680.492,2,柯智仁
八哥科,Acridotheres tristis,家八哥,,外來種,外來種、普,2014,9,29,新店溪,302881.4753,2767680.492,11,柯智仁
八哥科,Acridotheres javanicus,白尾八哥,,外來種,外來種、普,2014,9,29,新店溪,302881.4753,2767680.492,3,柯智仁
鳩鴿科,Streptopelia orientalis,金背鳩,特有亞種,,留、普,2014,9,29,新店溪,302881.4753,2767680.492,1,柯智仁
鵯科,Pycnonotus sinensis,白頭翁,特有亞種,,留、普,2014,9,29,新店溪,302866.1294,2767735.525,4,柯智仁
麻雀科,Passer montanus,麻雀,,,留、普,2014,9,29,新店溪,302866.1294,2767735.525,1,柯智仁
伯勞科,Lanius cristatus,紅尾伯勞,,,冬、普/過、普,2014,9,29,新店溪,302866.1294,2767735.525,1,柯智仁
