檢驗項目,水位m,氣溫℃,水深m,透明度m,水溫℃,濁度NTU,色度UNIT,臭度TON,總鹼度mg/L,酸鹼值,氯鹽mg/L,硫酸鹽mg/L,氨氮mg/L,亞硝酸鹽氮mg/L,硝酸鹽氮mg/L,有機氮mg/L,溶氧量mg/L,生化需氧量mg/L,化學需氧量mg/L,總溶解固體量mg/L,懸浮固體量mg/L,導電度μS/cm,硬度mg/L,鈣mg/L,鎂mg/L,鐵mg/L,錳mg/L,總菌落數CFU/mL,大腸桿菌群CFU/100mL,總有機碳mg/L,正磷酸鹽μg/L,總磷μg/L,葉綠素aμg/L,藻類數cell/mL,陰離子界面活性劑,uv_254mg/L,鋅mg/L
大壩上,163.54,33.9,0.5,4.1,29.8,0.8,-99,-99,-99,8.4,-99,-99,0.03,-99,-99,-99,7.9 ,0.1 ,ND,-99,0.20 ,89.0 ,-99,-99,-99,-99,ND,-99,1400 ,0.90 ,-99,12 ,2.30 ,3934 ,-99,-99,-99
大壩中,163.54,33.9,45.0,-99,25.7,0.9,-99,-99,-99,6.8,-99,-99,0.06,-99,-99,-99,5.1 ,0.3 ,ND,-99,0.78 ,84.0 ,-99,-99,-99,-99,0.0071 ,-99,120 ,0.60 ,-99,9 ,1.30 ,1332 ,-99,-99,-99
大壩下,163.54,33.9,90.0,-99,21.3,1.4,-99,-99,-99,6.8,-99,-99,0.05,-99,-99,-99,4.0 ,0.4 ,ND,-99,1.20 ,86.0 ,-99,-99,-99,-99,0.0540 ,-99,130 ,0.50 ,-99,14 ,0.80 ,1120 ,-99,-99,-99
火燒樟,163.54,33.9,0.5,4.0,30.1,0.95,-99,-99,-99,8.3,-99,-99,0.04,-99,-99,-99,8.0 ,0.3 ,ND,-99,0.73 ,91.0 ,-99,-99,-99,-99,-99,-99,70 ,0.80 ,-99,12 ,2.00 ,4351 ,-99,-99,-99
後坑子,163.53,33.8,0.5,4.1,30.2,0.85,-99,-99,-99,8.3,-99,-99,0.04,-99,-99,-99,8.0 ,0.2 ,ND,-99,0.35 ,86.0 ,-99,-99,-99,-99,-99,-99,<10,1.00 ,-99,12 ,2.20 ,3348 ,-99,-99,-99
鷺鷥潭,163.53,33.6,0.5,4.1,29.3,0.9,-99,-99,-99,8.4,-99,-99,0.03,-99,-99,-99,8.1 ,0.5 ,ND,-99,0.58 ,85.0 ,-99,-99,-99,-99,-99,-99,70 ,1.00 ,-99,17 ,2.10 ,4351 ,-99,-99,-99
小格頭,163.53,33.6,0.5,4.0,29.6,0.95,-99,-99,-99,8.4,-99,-99,0.04,-99,-99,-99,8.1 ,0.2 ,ND,-99,0.68 ,89.0 ,-99,-99,-99,-99,-99,-99,45 ,0.80 ,-99,16 ,3.00 ,4105 ,-99,-99,-99
媽祖林,163.53,33.2,0.5,4.0,29.1,1,-99,-99,-99,8.5,-99,-99,0.03,-99,-99,-99,8.3 ,0.2 ,ND,-99,0.65 ,89.0 ,-99,-99,-99,-99,-99,-99,60 ,0.90 ,-99,18 ,3.60 ,3556 ,-99,-99,-99
表水平均值,163.53,33.7,0.5,4.1,29.7,0.91,-99,-99,-99,8.4,-99,-99,0.04,-99,-99,-99,8.1 ,0.3 ,0.0 ,-99,0.53 ,88.2 ,-99,-99,-99,-99,0.0000 ,-99,329 ,0.90 ,-99,15 ,2.53 ,3941 ,-99,-99,-99
永安,163.53,33.4,0.5,3.5,29.0,1.2,-99,-99,-99,8.4,-99,-99,0.03,-99,-99,-99,8.5 ,0.2 ,ND,-99,0.73 ,90.0 ,-99,-99,-99,-99,-99,-99,30 ,1.00 ,-99,30 ,3.50 ,5183 ,-99,-99,-99
