時間,總磷(水庫),葉綠素(水庫),透明度(水庫),藻類數(水庫),卡爾森優養指數,水庫水質優養指標
2013年1月,10.17,2.42,5.35,9199,37.56,貧養
2013年2月,10.83,1.32,6.42,9508,35,貧養
2013年3月,7,3.51,5.9,12363,36.52,貧養
2013年4月,11.33,1.35,3.45,12977,38.29,貧養
2013年5月,9,2.12,4.58,13114,37.28,貧養
2013年6月,9,2.75,4.77,14038,37.95,貧養
2013年7月,10,2.4,3.78,17680,39.12,貧養
2013年8月,14.33,2.72,3.47,17364,41.68,普養
2013年9月,9.83,4.35,4.43,19859,40.22,普養
2013年10月,12.17,7.8,4,25953,43.65,普養
2013年11月,7.67,3.1,5.65,17124,36.76,貧養
2013年12月,8.67,1.55,4.55,4857,36.11,貧養
2014年1月,7.83,1.53,5.7,4492,34.51,貧養
2014年2月,9,0.52,5.97,4360,31.4,貧養
2014年3月,6.83,3.84,4.75,7378,37.73,貧養
2014年4月,9.83,0.93,4.3,7951,35.34,貧養
2014年5月,12.5,1.93,4.02,8094,39.2,貧養
2014年6月,13.67,1.23,3.67,12339,38.6,貧養
2014年7月,23,2.77,3.3,16370,44.25,普養
2014年8月,16.83,2.22,4.13,17850,40.94,普養
2014年9月,9.83,4.35,4.28,9306,40.39,普養
2014年10月,9.67,4.48,5.58,8201,39.13,貧養
2014年11月,12,2.1,5.7,8637,37.59,貧養
2014年12月,13,4.2,5.68,7400,40.26,普養
2015年1月,9.67,1.57,5.88,4463,35.44,貧養
2015年2月,7.67,1.55,6.75,3441,33.63,貧養
2015年3月,9.5,3.92,5.05,7310,39.09,貧養
2015年4月,9.5,1.43,6.35,4503,34.7,貧養
2015年5月,11,1.02,4.12,9843,36.37,貧養
2015年6月,8.67,1.47,4.9,11123,35.58,貧養
2015年7月,11.33,2.68,3.47,14975,40.51,普養
2015年8月,12.33,2.25,2.98,16423,41.06,普養
2015年9月,12.67,7.07,3.47,7800,44.21,普養
2015年10月,13.17,5.27,2.63,6667,44.76,普養
2015年11月,12.67,4.28,2.83,6380,43.54,普養
2015年12月,16.5,1.07,1.77,2804,42.53,普養
2016年1月,11,1.4,3.95,2175,37.61,貧養
2016年2月,9.83,2.03,5.03,4311,37.13,貧養
2016年3月,9,1.1,5.48,3537,34.28,貧養
2016年4月,15.67,2.7,4.1,5540,41.28,普養
2016年5月,12.67,1.8,4.43,9517,38.56,貧養
2016年6月,11.67,4.7,4.57,7250,41.16,普養
2016年7月,10.33,2.92,4.65,10672,38.93,貧養
2016年8月,13.17,5.53,4.33,9306,42.52,普養
2016年9月,11.5,4.95,4.6,6738,41.22,普養
2016年10月,15.67,4,2.98,6413,44.09,普養
2016年11月,9.33,5,4.77,4399,40.08,普養
2016年12月,10.83,2.6,4.15,4757,39.32,貧養
2017年1月,12,1.13,5.17,3616,36.05,貧養
2017年2月,10.83,2.4,5.1,4714,38.07,貧養
2017年3月,6.33,2.63,6.37,3348,34.73,貧養
2017年4月,7.67,2.6,6.07,7024,35.84,貧養
2017年5月,13.17,3,5.07,6702,39.77,貧養
2017年6月,6.17,2.6,3.55,8662,37.36,貧養
2017年7月,9.5,2.77,3.87,9617,39.23,貧養
2017年8月,11.67,2.77,3.43,12683,40.79,普養
2017年9月,11,2.7,3.87,10454,39.86,貧養
2017年10月,7.33,2.75,4.03,7382,37.77,貧養
2017年11月,7.83,2.8,5.95,6051,36.28,貧養
2017年12月,8.33,2.72,4.82,4456,37.49,貧養
2018年1月,9.67,2.77,5.85,4414,37.33,貧養
2018年2月,9.83,2.73,6.68,2883,36.73,貧養
2018年3月,6.5,1.7,5.15,5930,34.44,貧養
2018年4月,6.17,1.37,4.88,8673,33.73,貧養
2018年5月,9.33,1.12,4.75,7014,35.2,貧養
2018年6月,12.17,1.55,3.73,10204,38.7,貧養
2018年7月,10.17,1.48,3.67,9832,37.78,貧養
2018年8月,11.17,1.52,4.45,10129,37.37,貧養
2018年9月,9.83,2.33,4.52,10172,38.09,貧養
2018年10月,11.33,2.53,5.13,8945,38.44,貧養
2018年11月,11.83,2.48,5.48,10673,38.26,貧養
2018年12月,10.33,1.42,5.4,6044,35.85,貧養
2019年1月,6.67,0.95,8.62,4506,30.19,貧養
2019年2月,9.83,1.1,6.27,5762,34.06,貧養
2019年3月,8.33,1.23,6.47,5819,33.49,貧養
2019年4月,7.33,0.42,4.75,6978,30.81,貧養
2019年5月,11.17,4.25,4.75,9406,40.43,普養
2019年6月,10.17,3.82,4.67,12006,39.71,貧養
2019年7月,9.17,2.33,3.93,10694,38.43,貧養
2019年8月,11,2.75,4,13730,39.76,貧養
2019年9月,11.83,4,4.37,9431,40.91,普養
2019年10月,13.83,4.5,4.37,7922,42.05,普養
2019年11月,11.33,2.45,5.08,9435,38.37,貧養
2019年12月,8.83,2,5.02,3634,36.57,貧養
2020年1月,8.83,2.07,6.87,3165,35.17,貧養
