流水號	地點	行政區	WGS經度座標	WGS緯度座標
1	老泉街　　　　防汛道路	文山區	121.55754	24.976234
2	木新路三段　　232巷	文山區	121.55911	24.981323
3	木新路三段　　寶橋路	文山區	121.554054	24.98002
4	老泉街　　　　恆光橋頭	文山區	121.56776	24.979765
5	木新路三段　　一壽街	文山區	121.55637	24.980597
6	木新路三段　　310巷	文山區	121.55716	24.98081
7	興隆路四段　　122	文山區	121.56234	24.982647
8	保儀路13巷　　26巷	文山區	121.56861	24.988333
9	恆光街　　　　恆光橋	文山區	121.567024	24.9825
10	木新路三段　　278巷	文山區	121.55807	24.981054
11	木新路三段　　200號	文山區	121.559944	24.981512
12	辛亥路七段　　76巷	文山區	121.5537	24.981972
13	木新路三段　　155	文山區	121.560905	24.981737
14	興隆路四段　　木新路三段	文山區	121.56254	24.982117
15	木新路三段　　50巷	文山區	121.5642	24.982489
16	木新路二段　　保儀路　	文山區	121.5655	24.982847
17	木新路二段　　111巷	文山區	121.569824	24.984411
18	辛亥路七段　　忠順街一段	文山區	121.55402	24.983208
19	忠順街一段　　木新路三段310巷	文山區	121.55632	24.983313
20	木新路二段　　恆光街	文山區	121.56673	24.983301
21	木新路二段161巷　　12弄	文山區	121.569145	24.9832
22	木柵路一段　　58	文山區	121.5473	24.986965
23	忠順街一段　　實踐國小	文山區	121.55707	24.983595
24	辛亥路七段　　光輝路21巷	文山區	121.55379	24.985535
25	興隆路四段　　58巷	文山區	121.56127	24.985552
26	木新路二段　　161巷	文山區	121.56879	24.984015
27	指南路二段　　政大一街	文山區	121.57982	24.985828
28	忠順街一段　　26巷	文山區	121.55913	24.984085
29	辛亥路七段　　20巷	文山區	121.55314	24.986582
30	興隆路四段　　忠順街二段	文山區	121.561676	24.984468
31	西安街一段　　文林北路94巷	北投區	121.51992	25.107777
32	辛亥路七段　　光輝路50巷	文山區	121.554184	24.984844
33	保儀路　　　　忠順街二段	文山區	121.566765	24.984728
34	指南路三段    　2巷	文山區	121.57993	24.985355
35	保儀路　　　　永安街22巷	文山區	121.56833	24.986834
36	木新路二段　　永安街	文山區	121.57065	24.986624
37	指南路二段　　147巷	文山區	121.577225	24.987368
