樹籍編碼,樹種,學名,科別,河濱公園,管理單位,樹高_m,胸高直徑_cm,樹冠投影面,推估樹齡_y,資料日期,備註,經度_TWD97,緯度_TWD97,經度_WGS84,緯度_WGS84
JM0DN10001,茄苳,Bischofia javanica,大戟科,道南,高灘地南區管理站,7.45495,30.617173,12.883801,38.455169,1051125,多主幹2枝,305908.1213,2763654.655,121.553778,24.979803
JM0DN10002,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.7296,6.050955,2.99303,7.6,1051125,,305910.8439,2763645.581,121.553805,24.979721
JM0DN10003,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.20544,9.176452,1.655065,11.525624,1051125,多主幹2枝,305914.1551,2763633.791,121.553837,24.979615
JM0DN10004,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.74021,0,1.806718,0,1051125,DBH<6,305914.8507,2763631.288,121.553844,24.979592
JM0DN10005,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.57414,5.732484,0.912292,7.2,1051125,,305915.0599,2763628.553,121.553846,24.979567
JM0DN10006,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,6.23606,15.097187,1.362435,18.962067,1051125,測量1m多主幹2枝,305916.4065,2763625.519,121.553859,24.97954
JM0DN10007,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.93001,9.873896,1.663096,12.401613,1051125,多主幹2枝,305917.6048,2763622.222,121.553871,24.97951
JM0DN10008,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.69706,7.484076,1.413328,9.4,1051125,,305918.6694,2763618.341,121.553881,24.979475
JM0DN10009,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.01864,0,2.013399,0,1051125,DBH<6,305919.8822,2763614.077,121.553893,24.979436
JM0DN10010,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.79231,0,1.399608,0,1051125,DBH<6,305920.6815,2763611.206,121.553901,24.979411
JM0DN10011,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.26154,9.235669,1.965794,11.6,1051125,測量0.7m,305920.956,2763608.795,121.553904,24.979389
JM0DN10012,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.29458,6.210191,2.3167,7.8,1051125,,305923.3526,2763603.401,121.553927,24.97934
JM0DN10013,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.86683,0,2.047826,0,1051125,DBH<6,305924.4546,2763599.541,121.553938,24.979305
JM0DN10014,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.7417,14.968153,6.527172,18.8,1051125,測量1m,305925.396,2763595.617,121.553947,24.97927
JM0DN10015,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.86667,10.922453,3.457138,13.718601,1051125,多主幹2枝,305926.5485,2763593.003,121.553958,24.979246
JM0DN10016,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.78034,9.235669,2.312682,11.6,1051125,,305927.6734,2763588.781,121.553969,24.979208
JM0DN10017,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.80734,6.687898,2.477861,8.4,1051125,,305928.7952,2763584.686,121.55398,24.979171
JM0DN10018,洋紫荊,Bauhinia purpurea,豆科,道南,高灘地南區管理站,7.61805,24.840764,33.753092,31.2,1051125,,305929.9846,2763579.219,121.553992,24.979121
JM0DN10019,洋紫荊,Bauhinia purpurea,豆科,道南,高灘地南區管理站,8.60735,16.552086,22.490616,20.78942,1051125,多主幹2枝,305930.9382,2763576.932,121.554001,24.979101
JM0DN10020,相思樹,Acacia confusa,豆科,道南,高灘地南區管理站,11.8004,15.286624,20.771134,19.2,1051125,,305931.4114,2763573.999,121.554006,24.979074
JM0DN10021,山黃麻,Trema orientalis,榆科,道南,高灘地南區管理站,10.6746,34.235669,46.518685,43,1051125,,305932.2763,2763571.57,121.554014,24.979052
JM0DN10022,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.31383,0,1.358778,0,1051125,DBH<6,305934.1148,2763566.168,121.554032,24.979003
JM0DN10023,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.78649,0,4.112116,0,1051125,DBH<6,305935.5977,2763562.029,121.554047,24.978966
JM0DN10024,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.22983,5.732484,4.498844,7.2,1051125,,305936.0639,2763559.349,121.554051,24.978942
JM0DN10025,水柳,Salix warburgii,楊柳科,道南,高灘地南區管理站,5.15499,15.923567,7.699876,20,1051125,測量1m,305937.615,2763554.764,121.554066,24.9789
JM0DN10026,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.66707,0,3.278337,0,1051125,DBH<6,305938.2428,2763551.966,121.554072,24.978875
