No,Family,Name_S,Name_C,西元年,Month,Date,Region,X坐標,Y坐標,數量
1,蜻蜓科,Tramea virginia,大華蜻蜓,2014,5,26,淡水河,300042,2770372,1
2,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,5,26,淡水河,299430,2770140,1
10,蜻蜓科,Tramea virginia,大華蜻蜓,2014,5,24,新店溪,299600,2767675,1
11,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,7,17,新店溪,299666,2767478,1
12,蜻蜓科,Orthetrum sabina sabina,杜松蜻蜓,2014,7,17,新店溪,300151,2767226,3
13,細蟌科,Ischnura senegalensis,青紋細蟌,2014,7,17,新店溪,300151,2767226,2
14,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,7,17,新店溪,301922,2768338,1
15,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,7,17,新店溪,302576,2768057,1
16,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,7,30,關渡水岸公園,296700,2778798,1
17,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,7,30,關渡水岸公園,296560,2779374,1
18,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,300542,2775844,2
19,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,300589,2775793,3
20,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,300747,2775641,1
21,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301007,2775280,2
22,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301117,2775026,2
23,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301319,2774012,1
24,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301354,2773659,1
25,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301329,2773362,1
26,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301307,2772966,2
27,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301279,2772379,2
28,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301146,2772016,2
29,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,301057,2771773,2
30,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,淡水河,300948,2771484,2
31,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,新店溪,299716,2767447,1
32,細蟌科,Ischnura senegalensis,青紋細蟌,2014,6,12,新店溪,300159,2767228,11
33,蜻蜓科,Tramea virginia,大華蜻蜓,2014,6,12,新店溪,300159,2767228,1
34,蜻蜓科,Orthetrum sabina sabina,杜松蜻蜓,2014,6,12,新店溪,300145,2767290,1
35,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,新店溪,300594,2767591,1
36,蜻蜓科,Neurothemis ramburii ramburii,善變蜻蜓,2014,6,12,新店溪,303979,2766412,1
37,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,6,12,新店溪,303979,2766412,1
1,蜻蜓科,Orthetrum pruinosum neglectum,霜白蜻蜓中印亞種,2014,8,25,新店溪,303702,2766938,1
2,春蜓科,Lamelligomphus formosanus,鈎尾春蜓,2014,8,25,新店溪,303702,2766938,1
3,蜻蜓科,Trithemis festiva,樂仙蜻蜓,2014,8,25,新店溪,303702,2766938,1
4,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,新店溪,303543,2767023,1
5,蜻蜓科,Tramea virginia,大華蜻蜓,2014,8,25,新店溪,303196,2767218,1
6,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,新店溪,303196,2767218,1
7,蜻蜓科,Diplacode trivialis,侏儒蜻蜓,2014,8,25,新店溪,302974,2767583,11
8,蜻蜓科,Orthetrum sabina sabina,杜松蜻蜓,2014,8,25,新店溪,302974,2767583,4
9,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,新店溪,302974,2767583,2
10,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,新店溪,302176,2768256,1
11,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,新店溪,302030,2768307,1
12,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,新店溪,300830,2767893,1
13,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,新店溪,300346,2767448,6
14,蜻蜓科,Orthetrum sabina sabina,杜松蜻蜓,2014,8,25,新店溪,300184,2767289,2
15,蜻蜓科,Diplacode trivialis,侏儒蜻蜓,2014,8,25,新店溪,300184,2767289,8
16,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,新店溪,299821,2767256,6
17,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,8,25,淡水河,300620,2770882,1
18,蜻蜓科,Pantala flavescens,薄翅蜻蜓,2014,9,28,新店溪,303110,2767322,8
19,蜻蜓科,Diplacode trivialis,侏儒蜻蜓,2014,9,28,新店溪,302983,2767574,11
20,蜻蜓科,Orthetrum sabina sabina,杜松蜻蜓,2014,9,28,新店溪,302983,2767574,1
